ProductCode,ProductName,DFQ,Supported,DynamicCustomPayload
00,,,CUSTOM,
01,,,CUSTOM,
02,,,CUSTOM,
03,,,CUSTOM,
04,,,CUSTOM,
05,,,CUSTOM,
06,,,CUSTOM,
07,,,CUSTOM,
08,,,CUSTOM,
09,,,CUSTOM,
10,,,CUSTOM,
11,,,CUSTOM,
12,,,CUSTOM,
13,,,CUSTOM,
14,,,CUSTOM,
15,,,CUSTOM,
16,,,CUSTOM,
17,,,CUSTOM,
18,,,CUSTOM,
19,,,CUSTOM,
20,,,CUSTOM,
21,,,CUSTOM,
22,,,CUSTOM,
23,TEMS Managed Systems,,CUSTOM,
23,,,CUSTOM,
24,,,CUSTOM,
25,,,CUSTOM,
26,,,CUSTOM,
27,,,CUSTOM,
28,,,CUSTOM,
29,,,CUSTOM,
30,,,CUSTOM,
31,,,CUSTOM,
32,,,CUSTOM,
33,,,CUSTOM,
34,,,CUSTOM,
35,,,CUSTOM,
36,,,CUSTOM,
37,,,CUSTOM,
38,,,CUSTOM,
39,,,CUSTOM,
40,,,CUSTOM,
41,,,CUSTOM,
42,,,CUSTOM,
43,,,CUSTOM,
44,,,CUSTOM,
45,,,CUSTOM,
46,,,CUSTOM,
47,,,CUSTOM,
48,,,CUSTOM,
49,,,CUSTOM,
50,,,CUSTOM,
51,,,CUSTOM,
52,,,CUSTOM,
53,,,CUSTOM,
54,,,CUSTOM,
55,,,CUSTOM,
56,,,CUSTOM,
57,,,CUSTOM,
58,,,CUSTOM,
59,,,CUSTOM,
60,,,CUSTOM,
61,,,CUSTOM,
62,,,CUSTOM,
63,,,CUSTOM,
64,,,CUSTOM,
65,,,CUSTOM,
66,,,CUSTOM,
67,,,CUSTOM,
68,,,CUSTOM,
69,,,CUSTOM,
70,,,CUSTOM,
71,,,CUSTOM,
72,,,CUSTOM,
73,,,CUSTOM,
74,,,CUSTOM,
75,,,CUSTOM,
76,,,CUSTOM,
77,,,CUSTOM,
78,,,CUSTOM,
79,,,CUSTOM,
80,,,CUSTOM,
81,,,CUSTOM,
82,,,CUSTOM,
83,,,CUSTOM,
84,,,CUSTOM,
85,,,CUSTOM,
86,,,CUSTOM,
87,,,CUSTOM,
88,,,CUSTOM,
89,,,CUSTOM,
90,,,CUSTOM,
91,,,CUSTOM,
92,,,CUSTOM,
93,,,CUSTOM,
94,,,CUSTOM,
95,,,CUSTOM,
96,,,CUSTOM,
97,,,CUSTOM,
98,,,CUSTOM,
99,,,CUSTOM,
100,,,CUSTOM,
2N,Agentless Agent,,,
3Z,Monitoring Agent for Active Directory,,NOT_SUPPORTED,NOT_SUPPORTED
A2,AF/Remote Alert adapter,,,
A4,Monitoring Agent for i5/OS,,SUPPORTED,
AH,System Automation for z/OS,,,
AM,OMEGACENTER Gateway MVS Alert adapter,,,
AS,Tivoli Enterprise Monitoring Automation Server,,,
AU,CA-Unicenter Alert Emitter,,,
AX,IBM Tivoli Monitoring Shared Libraries,,,
BB,RAS1 programming building blocks,,,
BC,ITCAM System Edition for WebSphere DataPower,,SUPPORTED,
BL,CASP Directory Server Monitoring Agent,,,
BN,ITCAM Agent for WebSphere DataPower Appliance,,SUPPORTED,
BR,CASP Exchange Connector Monitoring Agent,,,
BS,Basic Services,,,
C2,OMEGAMON II for CICS,,NOT_SUPPORTED,NOT_SUPPORTED
C3,IBM Tivoli Monitoring for CICS,,SUPPORTED,NOT_SUPPORTED
C5,OMEGAMON XE for CICS on z/OS,,NOT_SUPPORTED,NOT_SUPPORTED
CA,Agent Management Services Watchdog,,,
CE,KCEagent in V5.1.0 and higher for OMEGAMON XE for CICS on z/OS,,NOT_SUPPORTED,NOT_SUPPORTED
CF,TEMS Configurator, ,NOT_SUPPORTED,NOT_SUPPORTED
CG,IBM Tivoli Monitoring for Cryptographic Coprocessors,,,
CI,IBM Tivoli Monitoring Product Installer,,,
CICATRSQ,IBM Tivoli Monitoring SQL Files,,,
CIENV,IBM Tivoli Monitoring Product Installer,,,
CJ,Tivoli Enterprise Portal Desktop Client,,,
CO,Command and Control,,,
CP,IBM Tivoli Monitoring for CICS,,SUPPORTED,NOT_SUPPORTED
CQ,Tivoli Enterprise Portal Server,,NOT_SUPPORTED,NOT_SUPPORTED
CU,ICU globalization support,,,
CW,Tivoli Enterprise Portal Browser Client,,,
CZ,IBM Tivoli Monitoring CommandPro,,,
