NAME                             TYPE                                    
PrimeShift                       All Managed Systems                     
Weekday                          All Managed Systems                     
Weekend                          All Managed Systems                     
NonPrimeShift                    All Managed Systems                     
MS_Offline                       All Managed Systems                     
QOMEGAMON_ONLINE                 All Managed Systems                     
Historical_Exports_Critical      All Managed Systems                     
Historical_Exports_Failure       All Managed Systems                     
Historical_Exports_Warning       All Managed Systems                     
Historical_RowsCorrupted         All Managed Systems                     
XDVEAppReqDroppedPercentHigh     WebSphere XD Cell                       
XDCGJobExcessiveTotalTime        WebSphere XD Cell                       
XDVEAppReqArrivedRateHigh        WebSphere XD Cell                       
XDCGJobExcessiveQueueTime        WebSphere XD Cell                       
XDCGJobSchDispErrorPercentHigh   WebSphere XD Cell                       
XDVEAppReqTimedOutPercentHigh    WebSphere XD Cell                       
XDVEDynClusterPartlyRunning      WebSphere XD Cell                       
XDVEAppReqAboveGoalPercentHigh   WebSphere XD Cell                       
XDVEODRQueueLengthHigh           WebSphere XD Cell                       
XDVESPolicyTaskOpen              WebSphere XD Cell                       
XDCGJobSchNotRunning             WebSphere XD Cell                       
XDVEServerMaintenance            WebSphere XD Cell                       
XDCGJobSchQueueLengthHigh        WebSphere XD Cell                       
XDCPUUsedHigh                    WebSphere XD Cell                       
XDConnectionError                WebSphere XD Cell                       
XDVEODRNotRunning                WebSphere XD Cell                       
XDVEAppReqFailedPercentHigh      WebSphere XD Cell                       
WXSQuorumWaiting                 WebSphere XS Zone                       
WXSContainerOffline              WebSphere XS Zone                       
WXSHungThreadsDetected           WebSphere XS Zone                       
WXSCatalogOffline                WebSphere XS Zone                       
WXSHighUsedMemoryPercent         WebSphere XS Zone                       
KQ7_WAS_Service_Down             Microsoft IIS                           
KQ7_WMSVC_UNABLE_2_READ_SETGS    Microsoft IIS                           
KQ7_WAS_Fail_2_Reg_Protocol      Microsoft IIS                           
KQ7_WAS_Fail_To_Config_Job_Obj   Microsoft IIS                           
KQ7_WMSvc_Service_Down           Microsoft IIS                           
KQ7_WMSVC_Auth_Read_Conf_Err     Microsoft IIS                           
KQ7_WP_Memory_Leak               Microsoft IIS                           
KQ7_WAS_SID_Mapping_Failed       Microsoft IIS                           
KQ7_MSFtpsvc_Service_Down        Microsoft IIS                           
KQ7_WAS_Terminated               Microsoft IIS                           
KQ7_NetPipeAct_Service_Down      Microsoft IIS                           
KQ7_NetTcpAct_Service_Down       Microsoft IIS                           
KQ7_NetTcpPShr_Service_Down      Microsoft IIS                           
KQ7_NntpSvc_Service_Down         Microsoft IIS                           
KQ7_Process_Stop_Responding      Microsoft IIS                           
KQ7_SMTPSVC_Service_Down         Microsoft IIS                           
KQ7_WP_Module_DLL_Load_Fail      Microsoft IIS                           
KQ7_WAS_High_Load_Dynamic_Idle   Microsoft IIS                           
KQ7_WAS_Process_Creation_Fail    Microsoft IIS                           
KQ7_WAS_Rapid_Fail_Protection    Microsoft IIS                           
KQ7_W3SVC_Fail_2_Init            Microsoft IIS                           
KQ7_W3SVC_Fail_2_Set_Queue_Len   Microsoft IIS                           
KQ7_NetMsmqAct_Service_Down      Microsoft IIS                           
KQ7_W3SVC_Listen_2_Many_Port     Microsoft IIS                           
KQ7_W3SVC_Perfmon_Init_Err       Microsoft IIS                           
KQ7_W3_ETW_Tracing_Init_Failed   Microsoft IIS                           
KQ7_W3_Fail_2_Create_FREB_Dir    Microsoft IIS                           
KQ7_W3_Out_Of_Memory             Microsoft IIS                           
KQ7_WAS_Config_Request_Fail      Microsoft IIS                           
KQ7_ASP_High_Error_Rate          Microsoft IIS                           
KQ7_ASP_Que_Size_Increased       Microsoft IIS                           
KQ7_ASP_Req_Dispatch_Slow        Microsoft IIS                           
KQ7_ASP_Req_Que_Size_Large       Microsoft IIS                           
KQ7_AppHostSvc_Hist_Config_Err   Microsoft IIS                           
KQ7_AppHostSvc_SID_Config_Err    Microsoft IIS                           
KQ7_AppHostSvc_Service_Down      Microsoft IIS                           
KQ7_App_Load_Fail                Microsoft IIS                           
KQ7_FTP_Pasport_MB_Access_Fail   Microsoft IIS                           
KQ7_WMSVC_SvcHand_Unknown_Err    Microsoft IIS                           
KQ7_FTP_Site_Down                Microsoft IIS                           
KQ7_FTP_Pasvport_Invalid_Value   Microsoft IIS                           
KQ7_WPHOST_Failed_Init           Microsoft IIS                           
KQ7_Ftpsvc_Service_Down          Microsoft IIS                           
KQ7_HTTPFilter_Service_Down      Microsoft IIS                           
KQ7_WP_Start_Fail                Microsoft IIS                           
KQ7_WP_Terminated                Microsoft IIS                           
KQ7_Web_Server_Down              Microsoft IIS                           
KQ7_Web_TooMany_Connections      Microsoft IIS                           
KQ7_Web_TooMany_KB_Received      Microsoft IIS                           
KQ7_Web_TooMany_KB_Sent          Microsoft IIS                           
KQ7_Web_TooMany_Requests         Microsoft IIS                           
KQ7_W3SVC_Binding_Fail           Microsoft IIS                           
KQ7_VirtualDir_CfgLost           Microsoft IIS                           
KQ7_W3SVC_App_Pool_Cmd_Err       Microsoft IIS                           
KQ7_W3SVC_Bind_Fail_Invald_URL   Microsoft IIS                           
KQ7_W3SVC_Filters_Load_Fail      Microsoft IIS                           
KQ7_IISWMSVC_Login_Unknown_Err   Microsoft IIS                           
KQ7_IIS_Web_Site_Down            Microsoft IIS                           
KQ7_FTP_System_Call_Failed       Microsoft IIS                           
KQ7_HTTP_Log_Serv_Unavailable    Microsoft IIS                           
KQ7_IISADMIN_Service_Down        Microsoft IIS                           
KQ7_FTP_Site_Down_2              Microsoft IIS                           
KQ7_Website_Certificate_Expiry   Microsoft IIS                           
KQ7_IIS_Web_Site_Down_2          Microsoft IIS                           
Transaction_Rate_C               Transaction Reporter                    
Transaction_Rate_M               Transaction Reporter                    
Parent_Sub_Transaction_Time_M    Transaction Reporter                    
Transaction_Rate_W               Transaction Reporter                    
Failed_Transactions              Transaction Reporter                    
Slow_Transactions                Transaction Reporter                    
Parent_Sub_Transaction_Time_W    Transaction Reporter                    
Parent_Sub_Transaction_Time_C    Transaction Reporter                    
JVM_Lock_Missed_Critical         JVM Monitor                             
JVM_System_GC_Warning            JVM Monitor                             
JVM_General_CPU_Warning          JVM Monitor                             
JVM_GC_Pause_Critical            JVM Monitor                             
JVM_IFA_on_General_CPU_Warning   JVM Monitor                             
JVM_Lock_Missed_Warning          JVM Monitor                             
JVM_GC_Pause_Warning             JVM Monitor                             
JVM_IFA_on_General_CPU_Critical  JVM Monitor                             
JVM_Occupancy_after_GC_Critical  JVM Monitor                             
JVM_General_CPU_Critical         JVM Monitor                             
JVM_Thread_Blocked_Warning       JVM Monitor                             
JVM_Avg_Elapsed_Time_Warning     JVM Monitor                             
JVM_zOS_Connect_Resp_Critical    JVM Monitor                             
JVM_zOS_Connect_Http_Warning     JVM Monitor                             
JVM_zOS_Connect_Resp_Warning     JVM Monitor                             
JVM_zOS_Connect_Timeout_Warning  JVM Monitor                             
JVM_MEM24Free_Warning            JVM Monitor                             
JVM_MEM31Free_Warning            JVM Monitor                             
JVM_MEM24Free_Critical           JVM Monitor                             
JVM_MEM64Free_Warning            JVM Monitor                             
JVM_MEM31Free_Critical           JVM Monitor                             
JVM_MEM64Free_Critical           JVM Monitor                             
KBN_DPC_CPU_High                 DataPower XC10 Appliances               
KBN_DP_Encryptfile_Space_Low     DataPower Appliances                    
KBN_DP_No_License                DataPower Appliances                    
KBN_DP_Memory_Full               DataPower Appliances                    
KBN_DP_HSM_Problem               DataPower Appliances                    
KBN_DP_Memory_Recovered          DataPower Appliances                    
KBN_DP_HSM_Uninitialized         DataPower Appliances                    
KBN_DP_No_Response               DataPower Appliances                    
KBN_DP_Parser_Out_of_Memory      DataPower Appliances                    
KBN_DP_Fan_Slowed                DataPower Appliances                    
KBN_DP_Fan_Stopped               DataPower Appliances                    
KBN_DP_File_Not_Found            DataPower Appliances                    
KBN_DP_HSM_Login_Failed          DataPower Appliances                    
KBN_DP_HSM_Login_Timeout         DataPower Appliances                    
KBN_DP_Restart_Lack_NmSp_QCode   DataPower Appliances                    
KBN_DP_Restart_Lack_Port         DataPower Appliances                    
KBN_DP_Restart_Lack_Pre_QCode    DataPower Appliances                    
KBN_DP_Memory_High               DataPower Appliances                    
KBN_DP_Restart_Low_File_Desc     DataPower Appliances                    
KBN_DP_Throttle_Low_File_Desc    DataPower Appliances                    
KBN_DP_Restart_Low_Tempfile      DataPower Appliances                    
KBN_DP_Service_Down              DataPower Appliances                    
KBN_DP_Stanzacfg_Out_of_Memory   DataPower Appliances                    
KBN_DP_System_Buffer_Too_Small   DataPower Appliances                    
KBN_DP_Power_Fail                DataPower Appliances                    
KBN_DP_Restart                   DataPower Appliances                    
KBN_DP_Restart_Lack_Locl_QCode   DataPower Appliances                    
KBN_DP_System_Load_High          DataPower Appliances                    
KBN_DP_System_QCode_Low          DataPower Appliances                    
KBN_DP_TFIM_Out_of_Memory        DataPower Appliances                    
KBN_DP_Tempfile_Recovered        DataPower Appliances                    
KBN_DP_Tempfile_Space_Low        DataPower Appliances                    
KBN_DP_Battery_Missing           DataPower Appliances                    
KBN_DP_Throttle_Low_Free_Ports   DataPower Appliances                    
KBN_DP_Throttle_Low_Memory       DataPower Appliances                    
KBN_DP_Throttle_Low_Tempfile     DataPower Appliances                    
KBN_DP_Unencryptfile_Space_Low   DataPower Appliances                    
KBN_DP_Persist_Store_Down        DataPower Appliances                    
KBN_DP_Persist_Store_Low         DataPower Appliances                    
KBN_DP_System_Invalid_FS         DataPower Appliances                    
KBN_DP_Restart_Lack_Resource     DataPower Appliances                    
KBN_DP_System_Out_of_Memory      DataPower Appliances                    
KBN_DP_CPU_High                  DataPower Appliances                    
KBN_DP_Restart_Low_Memory        DataPower Appliances                    
KBN_DP_Cert_Expired              DataPower Appliances                    
KBN_DP_Battery_Fail              DataPower Appliances                    
KBN_DP_Encodings_Out_of_Memory   DataPower Appliances                    
KBN_DP_System_IO_Error           DataPower Appliances                    
KBN_DP_Cert_About_To_Expire      DataPower Appliances                    
KBN_DP_Disk_Space_Insufficient   DataPower Appliances                    
KBN_DP_Battery_Life_End          DataPower Appliances                    
KBN_DP_WSM_Memory_High           DataPower Appliances                    
KHV_VM_Disk_HealthState          Microsoft Hyper-V Server                
KHV_Mem_On_Balancer_Node_Low     Microsoft Hyper-V Server                
KHV_Network_Service_Down         Microsoft Hyper-V Server                
KHV_VM_Heartbeat_Crit            Microsoft Hyper-V Server                
KHV_Image_Mgmt_Service_Down      Microsoft Hyper-V Server                
KHV_VM_Processor_Warn            Microsoft Hyper-V Server                
KHV_VM_Mgmt_Service_Down         Microsoft Hyper-V Server                
KHV_VM_ProcessorLoad_Crit        Microsoft Hyper-V Server                
KHV_VM_Memory_HealthState        Microsoft Hyper-V Server                
KHV_HV_LP_ContextSwitches        Microsoft Hyper-V Server                
KHV_HV_RVP_Utilization_Crit      Microsoft Hyper-V Server                
KHV_HV_VP_Utilization_Warn       Microsoft Hyper-V Server                
KHV_HV_PMemory_Available_Warn    Microsoft Hyper-V Server                
KHV_HV_PNW_Utilization_Crit      Microsoft Hyper-V Server                
KHV_HV_PNW_Utilization_Warn      Microsoft Hyper-V Server                
KHV_HV_RVP_Utilization_Warn      Microsoft Hyper-V Server                
KHV_HV_LP_Utilization_Warn       Microsoft Hyper-V Server                
KHV_HV_NWAdapter_FramesDropped   Microsoft Hyper-V Server                
KHV_HV_VP_Utilization_Crit       Microsoft Hyper-V Server                
KHV_HV_PCPU_Utilization_Warn     Microsoft Hyper-V Server                
KHV_HV_PDisk_Latency_Crit        Microsoft Hyper-V Server                
KHV_HV_PMemory_Available_Crit    Microsoft Hyper-V Server                
KHV_HV_PDisk_Usage_Crit          Microsoft Hyper-V Server                
KHV_HV_VSwitch_PacketsFlooded    Microsoft Hyper-V Server                
KHV_HV_LP_Utilization_Crit       Microsoft Hyper-V Server                
KHV_HV_PDisk_Latency_Warn        Microsoft Hyper-V Server                
KHV_HV_PCPU_Utilization_Crit     Microsoft Hyper-V Server                
KHV_HV_VMDelete_Info             Microsoft Hyper-V Server                
KHV_HV_VMCreate_Info             Microsoft Hyper-V Server                
KHV_HV_VStorageDevice_Warn       Microsoft Hyper-V Server                
KHV_HV_VMMigrate_Info            Microsoft Hyper-V Server                
KHV_HV_StorageMigrate_Info       Microsoft Hyper-V Server                
KHV_VM_Replication_Health_Crit   Microsoft Hyper-V Server                
KHV_VM_Replication_Health_Warn   Microsoft Hyper-V Server                
KHV_HV_VMMig_WO_Cluster_Info     Microsoft Hyper-V Server                
KHV_VM_Switch_HealthState        Microsoft Hyper-V Server                
KLO_Log_Agent_Config_Error       Tivoli Log File Agent                   
KLO_PRO_Log_Agent_Config_Error   Tivoli Log File Profile                 
KN4_UDPinErrors                  Monitored Network Devices               
KN4_snmpInASNParseErrs           Monitored Network Devices               
KN4_TCPinErrors                  Monitored Network Devices               
KN4_PacketsOnError               Monitored Network Devices               
KN4_IPHdrErrors                  Monitored Network Devices               
KN4_ipInAddrErrors               Monitored Network Devices               
KN4_InterfaceDown                Monitored Network Devices               
KNU_HostRunStatusAbnormal        NetApp Agent                            
KNU_LUNRunStatusAbnormal         NetApp Agent                            
KNU_HostOffLine                  NetApp Agent                            
KNU_VolumeRunStatusAbnormal      NetApp Agent                            
KNU_AggregateRunStatusAbnormal   NetApp Agent                            
KNU_QtreeRunStatusAbnormal       NetApp Agent                            
KP8_Service_Idle_Info            PeopleSoft Domain                       
KP8_Service_Busy_Crit            PeopleSoft Domain                       
KP8_Process_Down_PSPPMSRV        PeopleSoft Domain                       
KP8_Process_Down_PSMCFLOG        PeopleSoft Domain                       
KP8_Process_Down_PSOPTENG        PeopleSoft Domain                       
KP8_Queue_Count_Warn             PeopleSoft Domain                       
KP8_PSAE_Sign_On_Error           PeopleSoft Domain                       
KP8_Service_Busy_Warn            PeopleSoft Domain                       
KP8_Process_Down_PSMONITORSRV    PeopleSoft Domain                       
KP8_Service_CPU_Busy_Warn        PeopleSoft Domain                       
KP8_Client_Count_Crit            PeopleSoft Domain                       
KP8_Process_Down_PSRENSRV        PeopleSoft Domain                       
KP8_Service_CPU_Busy_Crit        PeopleSoft Domain                       
KP8_Process_Down_PSBRKDSP        PeopleSoft Domain                       
KP8_Process_Down_PSQCKSRV        PeopleSoft Domain                       
KP8_Process_Down_PSWATCHSRV      PeopleSoft Domain                       
KP8_Process_Down_PSBRKHND        PeopleSoft Domain                       
KP8_Process_Down_PSDBGSRV        PeopleSoft Domain                       
KP8_Process_Down_PSSUBDSP        PeopleSoft Domain                       
KP8_Process_Down_PSQRYSRV        PeopleSoft Domain                       
KP8_APPSRV_Log_Minor             PeopleSoft Domain                       
KP8_Process_Down_PSPUBHND        PeopleSoft Domain                       
KP8_Queue_Count_Crit             PeopleSoft Domain                       
KP8_Process_Down_PSUQRV          PeopleSoft Domain                       
KP8_Process_Down_PSSUBHND        PeopleSoft Domain                       
KP8_Process_Down_PSANALYTICSRV   PeopleSoft Domain                       
KP8_Process_Down_PSPUBDSP        PeopleSoft Domain                       
KP8_Process_Down_PSAPPSRV        PeopleSoft Domain                       
KP8_Process_Down_PSSAMSRV        PeopleSoft Domain                       
