ITM_Folder,ITM_Attribute_Group,ITM_Attribute_Item,ITM_Attribute_Value,entityType,query,metricName,metricPattern.prefix,metricPattern.postfix,aggregation,rule.conditionValue,conversionRule,comment,Supported,Roadmap
*,Local_Time,Day_Of_Month,,,,,,,,,maintenanceWindow,,SUPPORTED,
*,Local_Time,Day_Of_Week,,,,,,,,,maintenanceWindow,,SUPPORTED,
*,Local_Time,Hours,,,,,,,,,maintenanceWindow,,SUPPORTED,
*,Local_Time,Minutes,,,,,,,,,maintenanceWindow,,SUPPORTED,
*,Local_Time,Seconds,,,,,,,,,maintenanceWindow,,SUPPORTED,
*,Local_Time,Time,,,,,,,,,maintenanceWindow,,SUPPORTED,
*,ManagedSystem,Product,,host,,,,,,,linkedAttribute,TODO: System Offline event?,Supported,
*,ManagedSystem,Reason,,host,,,,,,,linkedAttribute,TODO: System Offline event?,TODO,
*,ManagedSystem,Status,OFFLINE,host,,,,,,,systemEvent,TODO: System Offline event?,Supported,
*,Universal_Time,Day_Of_Month,,,,,,,,,maintenanceWindow,,SUPPORTED,
*,Universal_Time,Day_Of_Week,,,,,,,,,maintenanceWindow,,SUPPORTED,
*,Universal_Time,Hours,,,,,,,,,maintenanceWindow,,SUPPORTED,
*,Universal_Time,Minutes,,,,,,,,,maintenanceWindow,,SUPPORTED,
*,Universal_Time,Time,,,,,,,,,maintenanceWindow,,SUPPORTED,
A4,i5OS_Auxiliary_Storage_Pool,Utilization_Percent,,ibmIOs,,sysASPUsed,,,avg,,percentage,,SUPPORTED,
A4,OS400_System_Status,CPU_Percent,,ibmIOs,,avgCPURate,,,avg,,percentage,,SUPPORTED,
A4,OS400_System_Status,System_ASP_Used,,ibmIOs,,sysASPUsed,,,avg,,percentage,,SUPPORTED,
A4,OS400_System_Status,Temp_Address_Percent_Used,,,,,,,,,,,NOT_SUPPORTED,
BN,KBN_CPUUSAGE,TenMinutes,,ibmDataPowerAppliance,,cpuUsage,,,avg,,percentage,,SUPPORTED,
BN,KBN_DOMAINSTATUS,Name,,ibmDataPowerAppliance,entity.ibmdatapower.domain.name,,,,,,dynamicQuery,,SUPPORTED,
BN,KBN_DOMAINSTATUS,ProbeEnabled,,ibmDataPowerAppliance,,connectionAccepted,,,avg,,value,,SUPPORTED,
BN,KBN_MEMORYSTATUS,Usage,,ibmDataPowerAppliance,,memoryUsage,,,avg,,percentage,,SUPPORTED,
BN,KBN_OBJECTSTATUS,AdminState,,ibmDataPowerAppliance,,statusMetric,,,avg,,enumConversion,,SUPPORTED,
BN,KBN_OBJECTSTATUS,Domain,,ibmDataPowerAppliance,entity.ibmdatapower.domain.name,,,,,,dynamicQuery,,SUPPORTED,
BN,KBN_OBJECTSTATUS,Name,,ibmDataPowerAppliance,entity.ibmdatapower.appliance.name,,,,,,dynamicQuery,,SUPPORTED,
BN,KBN_OBJECTSTATUS,OpState,,ibmDataPowerAppliance,,statusMetric,,,avg,,enumConversion,,SUPPORTED,
BN,KBN_SYSTEMUPTIME,Uptimereboot,,ibmDataPowerService,,,,,,,,,TODO,
BN,KBN_SYSTEMUPTIME,Uptimereload,,ibmDataPowerService,,,,,,,,,TODO,
BN,KBN_SYSTEMUSAGE,Load,,ibmDataPowerAppliance,,systemLoad,,,avg,,percentage,,SUPPORTED,
BN,KBN_XC10_CPUUSAGE,TenMinutes,,ibmDataPowerAppliance,,cpuUsage,,,avg,,percentage,,SUPPORTED,
DP,DB2_CICS_Exceptions,Pool_Thread_Waits,,zDb2,,,DB2_CICS_Exceptions,pool_thread_waits,,,value,,SUPPORTED,
DP,DB2_CICS_Exceptions,Total_Thread_Utilization,,zDb2,,,DB2_CICS_Exceptions,total_threads_inuse,,,value,TODO: ITM is percentage ,SUPPORTED,
DP,DB2_CICS_Threads,Entry_Thread_Waiting,,zDb2,,,DB2_CICS_Exceptions,total_threads_maximum,,,value,,SUPPORTED,
DP,DB2_CICS_Threads,Entry_Threads_Utilization,,zDb2,,,DB2_CICS_Exceptions,total_threads_inuse,,,value,,SUPPORTED,
DP,DB2_CICS_Threads,Pool_Thread_Overflow,,zDb2,,,DB2_CICS_Exceptions,pool_thread_maximum,,,value,,SUPPORTED,
DP,DB2_SRM_Log_Manager,Percent_Logs_Avail,,db2Database,,logs.used,,,,,value,,SUPPORTED,
DP,DB2_System_States,Status,Offline,zDb2,,,,,,,systemEvent,TODO: System Offline event?,TODO,
DP,DB2plex_Filter,Group_Or_Subsystem_Name,,zDb2,entity.ibmz.db2.mvssystem,,,,,,value,,SUPPORTED,
LO,KLO_LOG_FILE_STATUS,File_Name,,,,,,,,,,,WORKAROUND,Use Autonomous mode with direct EIF feed to OMNIbus
LO,KLO_LOG_FILE_STATUS,File_Status,,,,,,,,,,,WORKAROUND,Use Autonomous mode with direct EIF feed to OMNIbus
LO,KLO_LOGFILEEVENTS,Class,,,,,,,,,,,WORKAROUND,Use Autonomous mode with direct EIF feed to OMNIbus
LO,KLO_LOGFILEEVENTS,CustomInteger2,,,,,,,,,,,WORKAROUND,Use Autonomous mode with direct EIF feed to OMNIbus
LO,KLO_LOGFILEEVENTS,CustomSlot1,,,,,,,,,,,WORKAROUND,Use Autonomous mode with direct EIF feed to OMNIbus
LO,KLO_LOGFILEEVENTS,CustomSlot3,,,,,,,,,,,WORKAROUND,Use Autonomous mode with direct EIF feed to OMNIbus
LO,KLO_LOGFILEEVENTS,Event_Type,,,,,,,,,,,WORKAROUND,Use Autonomous mode with direct EIF feed to OMNIbus
LO,KLO_LOGFILEEVENTS,Logname,,,,,,,,,,,WORKAROUND,Use Autonomous mode with direct EIF feed to OMNIbus
LO,KLO_LOGFILEEVENTS,msg,,,,,,,,,,,WORKAROUND,Use Autonomous mode with direct EIF feed to OMNIbus
LO,KLO_LOGFILEEVENTS,Occurrence_Count,,,,,,,,,,,WORKAROUND,Use Autonomous mode with direct EIF feed to OMNIbus
LO,KLO_LOGFILEPROFILEEVENTS,Class,,,,,,,,,,,WORKAROUND,Use Autonomous mode with direct EIF feed to OMNIbus
LO,KLO_LOGFILEPROFILEEVENTS,Event_Type,,,,,,,,,,,WORKAROUND,Use Autonomous mode with direct EIF feed to OMNIbus
LO,KLO_LOGFILEPROFILEEVENTS,msg,,,,,,,,,,,WORKAROUND,Use Autonomous mode with direct EIF feed to OMNIbus
LO,KLO_LOGFILEPROFILEEVENTS,Occurrence_Count,,,,,,,,,,,WORKAROUND,Use Autonomous mode with direct EIF feed to OMNIbus
